Category,Question,Answer
Trees and Herbs,How long does the total process of extracting Paan Kattha take?,The total process takes about 4–5 months.
Trees and Herbs,What is Dagad Phool?,Dagad Phool is a tree/herb found in India.
Trees and Herbs,What is the name of the medicinal herb found in mountainous regions that maintains freshness and boosts blood circulation?,Timar.
Trees and Herbs,What are the medicinal properties of Timar?,It helps in maintaining overall freshness in the body and boosting blood circulation.
Trees and Herbs,What are Burans?,Burans are wild flowers primarily found in the Himalayas.
Trees and Herbs,What colour are Burans flowers?,They are bright red flowers.
Trees and Herbs,What are Burans flowers used for?,They are used in making tea and have a lot of medicinal value.
Trees and Herbs,What is the local name for Amaranth leaves in Uttarakhand?,Marsa.
Trees and Herbs,What is the dietary significance of Marsa (Amaranth leaves) in Uttarakhand?,These nutrient-rich leaves are a staple diet in the hilly regions.
Trees and Herbs,Name a carnivorous plant grown in India.,Pitcher plant.
Trees and Herbs,How does the Pitcher plant catch its prey?,"The cup-like surface at the top is slippery, causing insects to slip into the pitcher where a fluid melts their soft tissues."
Trees and Herbs,Where do Pitcher plants usually grow?,They usually grow in places with rocky terrains and less soil nutrients.
Trees and Herbs,How does the Pitcher plant obtain nutrients?,"When an insect is trapped inside, its soft tissues are melted in a fluid inside the pitcher, and the nutrients are absorbed by the plant."
Trees and Herbs,What is the name of the variety of chilli shaped like red cherries?,Dalle Khursani.
Trees and Herbs,Where is Dalle Khursani most famously found?,It is very famously found in Sikkim and North Bengal.
Trees and Herbs,What is Ghantoda?,Ghantoda is a plant or herb found in India.
Trees and Herbs,Name a herb that gives a numbing sensation when put in the mouth.,Sichuan pepper.
Birds and Animals,What is the native bird of Himachal Pradesh?,"Jujurana, also called Western Tragopan."
Birds and Animals,What type of bird is Jujurana (Western Tragopan)?,It is a rare pheasant native to the Himalayas and Himachal Pradesh.
Birds and Animals,What is Jujurana also commonly called?,It is also called the King of birds.
Birds and Animals,What is the state bird of Uttarakhand?,Himalayan Monal.
Birds and Animals,What is the Himalayan Goral?,Himalayan Goral is a wild animal found in the Himalayas.
Birds and Animals,What is the Himalayan Tahr?,Himalayan Tahr is a wild animal found in the Himalayas.
Food and Culinary Practices,What is the name of the traditional drink of Rajasthan made from makke ki aata and curd?,Makki ki Raab.
Food and Culinary Practices,What are the ingredients of Makki ki Raab?,It is made from makke ki aata (maize flour) and curd.
Food and Culinary Practices,What is the traditional food known as Kakharfulla bhaja?,Kakharfulla bhaja is a pumpkin flower curry.
Food and Culinary Practices,What is the name of the traditional food of Meghalaya made by stuffing meat into bamboo shoots?,Brenga.
Food and Culinary Practices,What are the ingredients in Brenga?,"Chicken or meat is mixed with spices, onions, and chillies, then stuffed into bamboo shoots with a little water added."
Food and Culinary Practices,How is Brenga cooked?,The stuffed bamboo shoot is covered with banana leaves at the opening and placed in charcoal fire.
Food and Culinary Practices,What is the name of the traditional fried soft bread dish of Himachal Pradesh?,Suhala.
Food and Culinary Practices,On what occasions is Suhala typically prepared in Himachal Pradesh?,"It is typically prepared during local weddings, festivals, or as a specialty in rural households."
Food and Culinary Practices,What filling can Suhala have?,It sometimes has a spiced filling.
Food and Culinary Practices,What is the name of the traditional drink commonly consumed in Uttarakhand and Himachal Pradesh made from flowers?,Buransh.
Food and Culinary Practices,What are the health benefits of Buransh juice?,"It is beneficial for diabetic and heart patients, and also good for people suffering from nosebleeds."
Food and Culinary Practices,What is Bichoo Buti in the context of Himachal Pradesh traditional food?,Bichoo Buti is a chutney preparation made from Bichoo grass.
Food and Culinary Practices,What is the characteristic of Bichoo grass used to make Bichoo Buti chutney?,This grass has a typical scorpion sting sensation when touched.
Food and Culinary Practices,What is the name of the traditional food of Himachal Pradesh known as Siddu Femda?,Siddu Femda.
Food and Culinary Practices,What is the name of the traditional Himachali wheat bread that is large in size and seasoned minimally?,Shotra.
Food and Culinary Practices,What are the main characteristics of Shotra?,"It is made of wheat, comes in large sizes, and is usually seasoned only with salt or very minimal spices, hence tasting bland."
Food and Culinary Practices,What is the name of the seasonal Himalayan vegetable often identified with coiled or curled fronds?,Lingad.
Food and Culinary Practices,How is Lingad typically cooked?,It is often cooked with spices or prepared as a tangy vegetable.
Food and Culinary Practices,What are the nutritional benefits of Lingad?,"It is highly nutritious, offering a good source of fiber, vitamins, and antioxidants."
Food and Culinary Practices,In which regions of India is Lingad widely eaten?,"It is widely eaten by people of Sikkim, northeast India, and Himachal Pradesh."
Food and Culinary Practices,What is the name of the spice that commonly grows in Pangi Valley and is widely used in the preparation of herbal tea?,Gurnu.
Food and Culinary Practices,Where is Gurnu found?,It is an organic herb found in the western Himalayas.
Food and Culinary Practices,What is the unique taste combination of Gurnu?,It has a rare combination of mint and fennel seed flavours.
Food and Culinary Practices,What is the word for oysters in Marathi language?,Kalva.
Food and Culinary Practices,"In which cuisine is Kalva (oysters) a popular seafood ingredient, often prepared as a curry?",Konkani cuisine.
Food and Culinary Practices,What is the name of the traditional sweet of Konkani cuisine?,Patoli.
Food and Culinary Practices,What are the ingredients and method of making Patoli?,"Rice flour is filled with jaggery and coconut, then steamed in turmeric leaves."
Food and Culinary Practices,What is the name of the traditional Garhwali fritters made from mountain lentils?,Bhooda.
Food and Culinary Practices,What are Bhooda fritters made of?,They are protein-rich dumplings made from lentils grown in the mountains.
Food and Culinary Practices,What is the name of the traditional fermented buttermilk drink of Uttarakhand?,Pallar.
Food and Culinary Practices,How is Pallar prepared?,The buttermilk is seasoned in mustard oil and kept in an earthen pot for about 36 hours for fermentation.
Food and Culinary Practices,What are the health benefits of Pallar?,It has huge digestive benefits.
Food and Culinary Practices,What is the name of the lentil preparation from Uttarakhand made from black lentils soaked overnight?,Phaanu.
Food and Culinary Practices,How is Phaanu prepared?,"Black lentils are soaked overnight, then ground and seasoned."
Food and Culinary Practices,What is the name of the traditional Garhwali rice fritter?,Arsa.
Food and Culinary Practices,How is Arsa prepared?,"Rice is soaked and beaten to a paste in a traditional grinder called Okhal, jaggery is mixed in, and fritters are fried in mustard oil."
Food and Culinary Practices,What is the name of the traditional Garhwali food made of Jhangora (Barnyard millet) and maize?,Ashka.
Food and Culinary Practices,"What does the word ""Bhatt"" mean in Garhwali language?",Bhatt means soyabean in Garhwali language.
Food and Culinary Practices,"What is the speciality in the preparation of the Garhwali dish ""Techwani""?",The main ingredient (usually potato) is crushed using a mortar and pestle instead of being cut by a knife.
Food and Culinary Practices,What are the seeds that resemble mustard seeds and are used in the cuisine of Uttarakhand called?,Jakhiya seeds.
Food and Culinary Practices,Why are Jakhiya seeds preferred over regular jeera and mustard seeds in Uttarakhand?,They are preferred due to their nutty aroma and huge medicinal benefits.
Food and Culinary Practices,What is the name of the variety of honey that is exclusively found in Darjeeling?,Tindhari honey.
Food and Culinary Practices,What is the name of the dish prepared by shallow frying the peeled skin of bottle gourd?,Lau Er Khosha Bhaja.
Food and Culinary Practices,"What is ""Panang Kilangu""?",It is a fruit known by this name in Tamil Nadu.
Food and Culinary Practices,What part of a plant is Panang Kilangu?,It is an underground sprout of a palm tree.
Food and Culinary Practices,"What is the most famous sweet of Tirunelveli, Tamil Nadu?",Wheat Halwa.
Food and Culinary Practices,What are the main ingredients of Tirunelveli Wheat Halwa?,"It is made of wheat as the base ingredient, loaded with ghee, and caramelised with sugar."
Food and Culinary Practices,What fruit resembles a tender coconut and grows on palm trees?,Ice apple.
Food and Culinary Practices,What is the internal structure of Ice apple?,It has 3 holes inside which contain the pulp.
Food and Culinary Practices,How is Ice apple consumed?,The pulp is extracted and made into a juice.
Food and Culinary Practices,Where is edible camphor used in Indian cuisine?,"It is used in the preparation of sweets, usually in temple prasadams."
Food and Culinary Practices,What is Niger seeds podi?,Niger seeds podi is a traditional food preparation using Niger seeds.
Food and Culinary Practices,What is the speciality of Chhurpi in Arunachal Pradesh compared to its traditional form?,"While Chhurpi is usually a type of Himalayan cheese, in Arunachal Pradesh it is also made by fermenting soyabean."
Food and Culinary Practices,What are Fang Leaves?,Fang Leaves are a traditional food ingredient used in Indian cuisine.
Food and Culinary Practices,What is the name of the traditional food of Madhya Pradesh made from besan steamed in Palasa leaves?,Thola.
Food and Culinary Practices,What are the ingredients of Thola?,"It is made of besan (gram flour), onion, ginger, garlic, etc."
Food and Culinary Practices,How is Thola cooked?,It is steam cooked in Palasa leaves.
Customs and Traditions,Why are corn cobs displayed on doors in some parts of Uttarakhand?,"It is an age-old tradition to represent a good harvest, as the corn kernels would provide seeds for the next harvest."
Customs and Traditions,What is the name of the traditional Garhwali folk dance performed by two men to the music of Dhol and Ransingha?,Sarai.
Customs and Traditions,What is the name of the traditional Garhwali folk dance performed by both men and women?,Ransu.
Customs and Traditions,What is the name of the traditional martial folk dance of Odisha?,Chhau dance.
Customs and Traditions,What are the key features of Chhau dance?,"It is known for its powerful movements, expressive masks, and storytelling based on mythology and folklore."
Customs and Traditions,What is the historical origin story of Chhau dance?,"It originated as a way to practice for war in secret, disguised as a dance, when the Britishers forbade war practice."
Customs and Traditions,What tribe has women who historically wore large nose plugs (yaping hullo) and facial tattoos?,This tribe historically had women who wore large nose plugs (yaping hullo) and facial tattoos.
Art & Handicrafts,What is Lippan art?,Lippan art is a traditional Indian art form.
Art & Handicrafts,What is the name of the famous block printing tradition of Kutch that uses natural dyes?,Ajrak.
Art & Handicrafts,How old is the Ajrak tradition of Kutch?,The custom of making Ajrak goes back 5000 years.
Art & Handicrafts,What makes Ajrak dyes unique?,The dyes are made from all natural herbs and no chemicals are used.
Art & Handicrafts,How many traditional Ajrak patterns exist and can they be customised?,"There are only 3 or 4 traditional patterns, but the craftsmen can customise the designs."
Art & Handicrafts,What is the speciality of the copper bells of Kutch?,The copper pieces are simply joined together with no welding process involved.
Art & Handicrafts,What is the most fascinating property of the copper bells of Kutch?,"When hammered with a wooden piece, different bells produce different sounds."
Art & Handicrafts,What is Ganesh Shankh?,Ganesh Shankh is a traditional Indian handicraft or artefact.
Art & Handicrafts,What is the name of the traditional S-shaped trumpet?,Ransingha.
Art & Handicrafts,What material is Ransingha typically made of?,It is often made of copper or brass.
Art & Handicrafts,What occasions is Ransingha used for?,"It is used for weddings, folk dances, and receiving guests, producing a loud, resonant sound."
Art & Handicrafts,What is the name of the black stone primarily used in sculpture making in Odisha?,Kala Muguni Pathara.
Art & Handicrafts,What is Kala Muguni Pathara primarily used for?,It is widely used in idol making.
Art & Handicrafts,What commonly known stone is Kala Muguni Pathara very similar to?,It is very similar to black granite.
History,Which Harappan heritage site has a signboard made with Harappan characters?,Dholavira.
History,What is the age of the Dholavira site?,It is about 5000 years old.
History,What water management features are found at Dholavira?,"The site has about 15–18 water reservoirs, all interconnected."
History,What percentage of Dholavira has been excavated?,About 15–20% of the site has been excavated.
History,What notable finds have come from excavations at Dholavira?,"About 4 granary stones were found, and one prominent discovery is a signboard made of Harappan characters."
History,What is the significance of the Lakha Mandal temple in relation to the Mahabharata?,It is believed that the Pandavas built this temple for Lord Shiva and worshipped him there.
History,How many Shiv Lingams does the Lakha Mandal temple contain?,"This temple has about 125,000 Shiv Lingams."
History,"How many times are the Pandavas believed to have visited the Lakha Mandal temple, and on what occasions?","The Pandavas are believed to have visited thrice: once when the Kauravas tried to burn them by deceit, once when they had to live incognito, and once after the Mahabharata war."
History,Name the excavated Buddhist monastery sites in Odisha.,"Ratnagiri, Lalitgiri and Udayagiri Buddhist sites."
History,"How old are the Ratnagiri, Lalitgiri, and Udayagiri Buddhist sites?",Archaeological remains date back to the 1st–2nd century AD.
History,"What has been uncovered during excavations at the Buddhist sites of Ratnagiri, Lalitgiri, and Udayagiri?","Excavations have uncovered stupas, monasteries, prayer halls, ancient brick structures, and a huge Maha-stupa."
History,What is the major highlight of the excavations at the Ratnagiri/Lalitgiri/Udayagiri Buddhist sites?,The discovery of sacred relics believed to be associated with Lord Buddha.
History,How did Tirunelveli get its name?,"According to local belief: Tiru means Lord, Nel means paddy, and Veli means fencing, referring to the story of Lord Shiva saving a farmer's paddy crop."
History,"What does each part of the name ""Tirunelveli"" mean?","Tiru means Lord, Nel means paddy, and Veli means fencing."
Geography,What is the importance of Longwa village in Nagaland?,This unique village straddles the international border with Myanmar.
Geography,What dual privileges do residents of Longwa village hold?,Residents hold dual citizenship and can travel up to 16 km from the border and stay up to 14 days without any visa requirements.
Geography,Who governs Longwa village and what is unique about the chief's house?,"The village is governed by a single chief called Angh, whose house lies in both India and Myanmar, with the international border passing directly through it."
Geography,When was the Great Himalayan National Park added to the UNESCO World Heritage Sites list?,It was added in 2014.
Geography,How many mammal species and bird species are found in the Great Himalayan National Park?,31 mammal species and 240 bird species (current data).
Geography,Why is the Great Himalayan National Park a UNESCO World Heritage Site in terms of flora?,Because of the availability of 37 medicinal plants and 823 floral species within it.
Geography,Which place in India is famously called mini Thailand?,Kulhi Katandi in Himachal Pradesh.
Geography,"What does the word ""Pule"" mean in Marathi language, as in the place name Ganpatipule?",Pule means white sand in Marathi language.
Geography,Which temple in India has a massive trident?,Shakti Temple in Uttarkashi.
Geography,What is the local belief about the massive trident at the Shakti Temple in Uttarkashi?,"It is believed the huge trident dropped from the heavens above, and is also believed to be reaching Pataal lok (the lower world)."
Geography,What is the unique property of the metal pot beneath the trident at the Shakti Temple in Uttarkashi?,"The metal pot, which dates back to the 13th century, vibrates a bit when touched with a finger."
Geography,What is the name of India's oldest amphitheatre?,Sitabengra caves.
Geography,Why are the Sitabengra caves considered India's oldest amphitheatre?,"They have oblong rock-cut cave features with crescent-shaped rock-cut benches and include Brahmi inscriptions, and are locally called ""Natyasala""."
Geography,What is the mythological significance of the Sitabengra caves?,"It is believed that Lord Rama, Lakshmana, and Goddess Sita rested here before proceeding to their exile."
Geography,What are Jogimara Caves famous for?,Fresco Paintings.
Geography,Where is the unique natural bouncing ground found in India?,"Jaljali, Manipat."
Geography,"What causes the bouncing effect at Jaljali, Manipat?",The bouncing effect is believed to be caused by a thick layer of mud and soil floating over a water body or marshy land.
Geography,What is the name of the uphill-flowing stream of Chattisgarh?,Ulta Pani.
Geography,"What is the visual phenomenon at Ulta Pani, Chattisgarh?",Water appears to flow from the bottom of the hill to the top.
Geography,What is the name of the famous receding beach of India?,Chandipur beach.
Geography,What are the other names for Chandipur beach?,It is also famously called the disappearing beach and the hide-and-seek beach.
Geography,How far does the sea recede at Chandipur beach during low tide?,The sea recedes about 4–5 km during low tide.
Geography,What is the name of the caves famous as Bat Caves?,Siju Caves.
Geogrpahy,What is Chaturbhujnath Nala known for?,It is known for its ancient rock art gallery with thousands of years old paintings.
Geogrpahy,What do the rock paintings at Chaturbhujnath Nala depict?,"They depict the lives of early humans, including hunting scenes and a transition from hunting to early cattle domestication."
Geogrpahy,What makes the rock art gallery at Chaturbhujnath Nala special?,It depicts the evolution of man in the style of storytelling.
Geogrpahy,What material was used to make the rock paintings at Chaturbhujnath Nala?,A type of iron oxide such as Fe2O3 and FeO was used.
Geography,What is the name of the biggest flower market in Tamil Nadu?,Thovalai flower market.
Geography,Where is the Thovalai flower market located relative to Kanyakumari?,It is about half an hour's distance from Kanyakumari.
Geography,From which cities are flowers sourced to the Thovalai flower market?,"Flowers are brought from places like Hosur, Bengaluru, Salem, and Madurai."
Geography,What is the name of the dungeon used by Tipu Sultan to imprison British officers and soldiers?,Colonel Bailey's Dungeon.
Geography,Who was Colonel Bailey's Dungeon named after?,"It was named after Colonel William Bailey, a British officer who died there in 1782."
Geography,During which wars was Colonel Bailey's Dungeon used by Tipu Sultan?,During the Anglo-Mysore Wars.
Geography,What is the name of the temple that was submerged in water for about 70 years?,Sri Venugopalaswamy Temple.
Geography,Why was the Sri Venugopalaswamy Temple submerged underwater?,It was submerged due to the construction of the Krishnarajasagara (KRS) Dam in the early 1900s.
Geography,Which deity is the Sri Venugopalaswamy Temple dedicated to?,"It is dedicated to Lord Krishna, also known as Venugopala."
Geography,Who undertook the relocation and restoration of the Sri Venugopalaswamy Temple?,The Khoday Foundation undertook the relocation and restoration.
Geography,What is India's Table Land?,"Panchgani has one of the largest flat mountain plateaus in Asia, known as Table Land."
Geography,What is the Brahmaputra river called in Arunachal Pradesh?,The Brahmaputra river is called Siang or Dihang river in Arunachal Pradesh.
Geography,What is the significance of the Apatani tribe?,Apatani Tribe.
Geography,What are the Bhimbetka caves?,Bhimbetka caves are prehistoric rock shelters in India.
Geography,Where can the mud volcano in India be found?,Baratang in Andaman and Nicobar Islands.
Geography,What is the name of the famous tribe in Andaman that is cut off from the rest of the world?,Sentinelese tribe of Andaman.
Festivals,What is the Wangala festival in Meghalaya also known as?,It is also known as the 100 drums festival.
Festivals,When is the Wangala festival celebrated and why?,It is celebrated in November to mark the rich harvests and to thank the Great River.
Festivals,What is distinctive about the performers at the Wangala festival?,"The performers have very different attire, beat, and dance steps."
Festivals,What is the name of the famous festival in Nagaland that everyone must visit at least once?,Hornbill festival.
Festivals,In which state is the Murung Festival celebrated?,Arunachal Pradesh
Mythology,"According to Hindu mythology, what is the name of the flower that sprang from Brahma's head when he created the universe?",Brahma Kamal.
Mythology,What are the blooming characteristics of Brahma Kamal?,This flower only blooms for one night and withers away in the morning.
Mythology,What is the spiritual significance of witnessing Brahma Kamal bloom?,"Witnessing its bloom is considered highly auspicious, and many believe it brings blessings of prosperity and good luck."
Mythology,What is the speciality about the Shiva Lingam in Uttarkashi?,It is slightly tilted.
Mythology,"Why is the Shiva Lingam in Uttarkashi slightly tilted, according to local belief?","It is believed that when Yama (the Lord of death) came for Rishi Markandeya, the Rishi prayed to Lord Shiva, who tilted towards him to save him."
